02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.043,other,33.3,0.19,0.87,0.1,,,,,,0.83,3,1,3,1,0,,2,151539,859,153671,2872743,235,1375,971,82,,127,106,21,,550,1289415,465240,402294,2021-12-07,https://covidactnow.org/us/alaska-ak,0.636,0.55,0,979003,3
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.058,other,10.2,0.16,1.0,0.1,,,,,,0.84,2,1,2,1,1,,2,846214,16185,799039,5515145,404,14766,10692,494,,1553,1305,95,,281,7866010,2801384,2281756,2021-12-07,https://covidactnow.org/us/alabama-al,0.571,0.465,0,5348564,2
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.078,other,27.8,0.19,1.09,0.1,,,,,,0.8,3,1,3,1,1,,1,533658,8752,329283,3568898,790,7461,5166,432,,825,660,145,,302,4842600,1843433,1504114,2021-12-07,https://covidactnow.org/us/arkansas-ar,0.611,0.498,13,3598840,3
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.155,other,55.5,0.02,1.02,0.1,,,,,,0.71,3,2,3,2,1,,1,1293735,22589,1306968,10449616,396,15845,12266,2808,,2169,1547,616,,3022,11875480,4737311,4025959,2021-12-07,https://covidactnow.org/us/arizona-az,0.651,0.553,0,9819974,3
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.032,other,17.5,0.31,1.14,0.1,,,,,,0.76,2,1,2,1,2,,1,5128950,75102,5115196,92018606,10600,61766,48025,3531,,7070,5385,864,,17481,71475695,31512403,25304407,2021-12-07,https://covidactnow.org/us/california-ca,0.798,0.64,94,61099523,3
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.092,other,41.7,0.11,0.91,0.1,,,,,,0.79,3,1,3,1,1,,1,848578,9571,854068,11172525,1300,11079,7983,1464,,1313,1041,479,,4394,10297835,4157201,3689397,2021-12-07,https://covidactnow.org/us/colorado-co,0.722,0.641,36,8830527,3
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.067,other,40.0,0.12,1.26,0.1,,,,,,0.59,3,1,3,1,2,,0,429932,8925,554998,11409388,860,7915,6469,481,,1025,605,97,,5481,6921565,3031723,2595835,2021-12-07,https://covidactnow.org/us/connecticut-ct,0.85,0.728,0,6142778,3
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.017,other,23.1,0.33,1.24,0.15,,,,,,0.78,2,0,2,1,2,,1,67996,1197,97796,3304506,268,3428,2589,124,,332,259,18,,566,1473965,585865,461191,2021-12-07,https://covidactnow.org/us/district_of_columbia-dc,0.83,0.653,0,1188539,3
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.09,other,58.4,0.07,1.18,0.1,,,,,,0.85,3,1,3,2,2,,2,156887,2194,176013,2743285,211,2928,2259,286,,197,167,29,,433,1880895,715772,602585,2021-12-07,https://covidactnow.org/us/delaware-de,0.735,0.619,0,1460016,3
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.032,other,8.3,0.29,1.12,0.1,,,,,,0.75,2,1,1,1,2,,1,3698468,61789,4374721,39673253,2600,52561,40455,1295,,6020,4508,263,,2714,38919675,15562658,13307158,2021-12-07,https://covidactnow.org/us/florida-fl,0.725,0.62,88,31661954,2
