21,US,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.105,other,53.4,0.1,1.2,0.1,,,,,,0.87,3,2,3,2,2,,3,806816,11434,773415,6295098,1240,10661,8310,1165,,1431,1239,288,,2748,7145935,2721399,2361175,2021-12-08,https://covidactnow.org/us/kentucky-ky,0.609,0.529,53,5558008,3
22,US,LA,,state,,iso1:us#iso2:us-la,,4648794,0.023,other,10.1,0.34,1.09,0.1,,,,,,0.78,2,0,2,1,1,,1,774181,14844,710649,8217987,800,12807,9182,197,,1477,1146,69,,560,6721780,2606384,2288925,2021-12-08,https://covidactnow.org/us/louisiana-la,0.561,0.492,7,5325498,2
25,US,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.047,other,68.1,0.1,1.21,0.1,,,,,,0.84,3,1,3,2,2,,2,951969,19567,1017070,32123837,2350,16412,13987,972,,1279,1073,239,,4506,13563390,5994910,4983806,2021-12-08,https://covidactnow.org/us/massachusetts-ma,0.87,0.723,51,11954533,3
24,US,MD,,state,,iso1:us#iso2:us-md,,6045680,0.063,other,22.2,0.21,1.18,0.1,,,,,,0.71,2,1,2,1,2,,1,592912,11255,1234432,14885001,1400,10237,8466,1087,,1273,910,182,,1866,12366150,4701933,4144638,2021-12-08,https://covidactnow.org/us/maryland-md,0.778,0.686,0,9717236,3
23,US,ME,,state,,iso1:us#iso2:us-me,,1344212,0.107,other,47.1,0.03,1.01,0.1,,,,,,0.76,3,2,3,2,1,,1,124098,1348,112195,3036642,86,3036,2180,376,,352,269,123,,980,2713490,1115715,985201,2021-12-08,https://covidactnow.org/us/maine-me,0.83,0.733,12,2305652,3
26,US,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.184,other,85.8,0.02,1.04,0.1,,,,,,0.89,5,2,5,2,1,,3,1532247,26207,1637242,17929200,1000,21954,18968,4639,,2515,2234,1009,,17780,16853470,6175261,5519936,2021-12-08,https://covidactnow.org/us/michigan-mi,0.618,0.553,0,13083449,3
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.143,other,83.8,0.04,1.09,0.1,,,,,,0.83,5,2,5,2,1,,2,945569,9823,1338630,16625561,1028,9903,7892,1792,,966,799,342,,12420,10094190,3930542,3578931,2021-12-08,https://covidactnow.org/us/minnesota-mn,0.697,0.635,45,8516193,3
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.119,other,44.8,0.01,1.22,0.1,,,,,,0.83,3,2,3,2,2,,2,941603,15653,978748,8299601,94,15219,12331,1680,,1813,1510,403,,2534,9414505,3716177,3170312,2021-12-08,https://covidactnow.org/us/missouri-mo,0.605,0.517,80,7619697,3
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,87.1,,1.32,0.21,,,,,,,5,4,5,4,2,,4,1182,3,564,54971,10,,,,,,,,,0,103050,41133,37078,2021-12-08,https://covidactnow.org/us/northern_mariana_islands-mp,0.767,0.692,0,85587,3
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.073,other,14.2,0.09,1.11,0.1,,,,,,0.77,2,1,2,2,2,,1,517138,10306,246334,1800256,200,7745,4891,242,,751,582,61,,652,4483215,1622109,1411175,2021-12-08,https://covidactnow.org/us/mississippi-ms,0.545,0.474,7,3275658,2
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.086,other,26.7,0.14,0.85,0.1,,,,,,0.66,3,1,3,1,0,,0,193218,2778,207285,1513419,200,2707,1802,183,,224,148,62,,418,1668645,646686,560890,2021-12-08,https://covidactnow.org/us/montana-mt,0.605,0.525,8,1357530,3
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.076,other,26.1,0.09,1.19,0.1,,,,,,0.84,3,1,3,2,2,,2,1550983,18890,1523087,16131884,1215,21802,17555,1376,,2263,1892,356,,2178,17959160,7527772,5769190,2021-12-08,https://covidactnow.org/us/north_carolina-nc,0.718,0.55,20,13919561,3
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.103,other,57.8,0.23,0.98,0.1,,,,,,0.76,3,2,3,1,1,,1,165414,1967,131801,1892577,500,1961,1519,244,,199,151,71,,564,1164530,447470,376592,2021-12-08,https://covidactnow.org/us/north_dakota-nd,0.587,0.494,13,921592,3
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.167,other,56.3,0.18,1.13,0.1,,,,,,0.88,3,2,3,1,2,,3,317450,2850,308470,2166423,1000,4123,3198,606,,486,428,173,,1437,3214650,1252660,1126807,2021-12-08,https://covidactnow.org/us/nebraska-ne,0.648,0.583,15,2673734,3
